Key Concept,Distractors
Abstract Window Toolkit,"Windows OS, Mac OS, Swing, Lightweight frameworks, Platform-dependence, Heavyweight components"
Components,"Container, Window, Panel, Frame, Canvas, Label, Button, Text field, Text area, Checkbox, Checkbox group, Radio button, Choice, List"
Container,"Panel, Window, Frame, Canvas, Components, Layout manager, setLayout(), setVisible()"
Window,"Frame, Dialog, Components, setLayout(), setVisible()"
Panel,"Container, Components, Frame, Dialog, Layout manager, setLayout(), setVisible()"
Frame,"Window, Container, Components, Title bar, Menu bars, setLayout(), setVisible()"
Canvas,"Component, Rectangular area, Drawing, Input events, setLayout(), setVisible()"
Component Class Methods,"add(Component c), setSize(int width, int height), setLayout(layout manager m), setVisible(boolean status)"
Functions,"Methods, Constructors, Event handlers, Paint methods"
Methods,"Functions, Constructors, Event handlers, Paint methods"
AWT Application,"Swing application, JavaFX application, Console application, GUI design principles"
Frame,"Window, Dialog, Panel, Container"
Button,"Checkbox, Radio button, Dropdown menu, Text field"
Label,"Text area, Text field, Tooltip, Image"
Text Field,"Text area, Label, Checkbox, Radio button"
Action Listener,"Item listener, Mouse listener, Key listener, Window listener"
Checkbox,"Radio button, Button, Dropdown menu, Text field"
Checkbox Group,"Radio button group, Button group, Dropdown menu group, Text field group"
Item Listener,"Action listener, Mouse listener, Key listener, Window listener"
Canvas,"Panel, Frame, Container, Applet"
Graphics,"Drawing, Paint, Shapes, Images"
Paint Method,"Draw method, Graphics method, Render method, Fill method"
Event Handling,"User inputs, Callbacks, Event-driven programming, GUI interactions"
Java.awt Package,"Swing package, JavaFX package, Java.awt.event package, Abstract Window Toolkit (AWT)"
java.awt.event package,"java.util package, java.lang package, java.awt package, java.io package"
Listener Interfaces,"Event classes, Event handling, Event-driven programming, Callback functions"
GUI Design Principles,"Usability, Accessibility, Consistency, Feedback"
Swing Application,"AWT application, JavaFX application, Console application, GUI design principles"
JavaFX Application,"AWT application, Swing application, Console application, GUI design principles"
Console Application,"AWT application, Swing application, JavaFX application, GUI design principles"
Window,"Frame, Dialog, Panel, Container"
Dialog,"Frame, Window, Panel, Container"
Panel,"Frame, Window, Dialog, Container"
Container,"Frame, Window, Dialog, Panel"
GUI Design Principles,"Usability, Accessibility, Consistency, Feedback"
Layouts,"UI elements, GUI, Layout Managers"
Flow Layout,"GridLayout, BorderLayout, CardLayout"
GridLayout,"FlowLayout, BorderLayout, CardLayout"
BorderLayout,"FlowLayout, GridLayout, CardLayout"
CardLayout,"FlowLayout, GridLayout, BorderLayout"
Layout Managers,"UI design, Components arrangement, GUI development"
